Country,Wheat_Production_tonnes_2020
Albania,233430
Austria,1652740
Belarus,2848391
Belgium,1741480
Bosnia and Herzegovina,321804
Bulgaria,4847940
Croatia,867530
Czechia,4902410
Denmark,4070410
Estonia,840520
Finland,686620
France,30144110
Germany,22172100
Greece,1095150
Hungary,5121480
Ireland,364920
Italy,6716180
Latvia,2659600
Lithuania,4818750
Luxembourg,72400
Malta,0
Montenegro,2339
Netherlands,931830
North Macedonia,246031
Norway,303000
Poland,12433210
Portugal,83500
Republic of Moldova,569735
Romania,6754530
Russian Federation,85896326
Serbia,2873503
Slovakia,2133330
Slovenia,158130
Spain,8143510
Sweden,3214300
Switzerland,527496
Ukraine,24912350
United Kingdom of Great Britain and Northern Ireland,9658000
